"Step","flow - loss","flow - loss__MIN","flow - loss__MAX"
"100","20.567405490875245","20.567405490875245","20.567405490875245"
"200","10.880555610656739","10.880555610656739","10.880555610656739"
"300","8.455348424911499","8.455348424911499","8.455348424911499"
"400","8.11111789226532","8.11111789226532","8.11111789226532"
"500","7.885058641433716","7.885058641433716","7.885058641433716"
"600","7.579455170631409","7.579455170631409","7.579455170631409"
"700","7.30099775314331","7.30099775314331","7.30099775314331"
"800","7.243247804641723","7.243247804641723","7.243247804641723"
"900","7.0055751657485965","7.0055751657485965","7.0055751657485965"
"1000","6.761447005271911","6.761447005271911","6.761447005271911"
"1100","6.573114728927612","6.573114728927612","6.573114728927612"
"1200","6.515052213668823","6.515052213668823","6.515052213668823"
"1300","6.40547779083252","6.40547779083252","6.40547779083252"
"1400","6.267849540710449","6.267849540710449","6.267849540710449"
"1500","6.177374787330628","6.177374787330628","6.177374787330628"
"1600","6.086484317779541","6.086484317779541","6.086484317779541"
"1700","6.024597883224487","6.024597883224487","6.024597883224487"
"1800","5.9783146810531616","5.9783146810531616","5.9783146810531616"
"1900","5.929753274917602","5.929753274917602","5.929753274917602"
"2000","5.889542598724365","5.889542598724365","5.889542598724365"
"2100","5.860414791107178","5.860414791107178","5.860414791107178"
"2200","5.7563463306427005","5.7563463306427005","5.7563463306427005"
"2300","5.71178243637085","5.71178243637085","5.71178243637085"
"2400","5.761457619667053","5.761457619667053","5.761457619667053"
"2500","5.665019359588623","5.665019359588623","5.665019359588623"
"2600","5.692768669128418","5.692768669128418","5.692768669128418"
"2700","5.631783971786499","5.631783971786499","5.631783971786499"
"2800","5.654179301261902","5.654179301261902","5.654179301261902"
"2900","5.59651948928833","5.59651948928833","5.59651948928833"
"3000","5.526006298065186","5.526006298065186","5.526006298065186"
"3100","5.505908503532409","5.505908503532409","5.505908503532409"
"3200","5.532538356781006","5.532538356781006","5.532538356781006"
"3300","5.5124695062637326","5.5124695062637326","5.5124695062637326"
"3400","5.4837608766555785","5.4837608766555785","5.4837608766555785"
"3500","5.4371281385421755","5.4371281385421755","5.4371281385421755"
"3600","5.425383667945862","5.425383667945862","5.425383667945862"
"3700","5.359327955245972","5.359327955245972","5.359327955245972"
"3800","5.296779022216797","5.296779022216797","5.296779022216797"
"3900","5.364646492004394","5.364646492004394","5.364646492004394"
"4000","5.307577276229859","5.307577276229859","5.307577276229859"
"4100","5.37733259677887","5.37733259677887","5.37733259677887"
"4200","5.2856068563461305","5.2856068563461305","5.2856068563461305"
"4300","5.235238561630249","5.235238561630249","5.235238561630249"
"4400","5.287368292808533","5.287368292808533","5.287368292808533"
"4500","5.258007488250732","5.258007488250732","5.258007488250732"
"4600","5.187395715713501","5.187395715713501","5.187395715713501"
"4700","5.23948579788208","5.23948579788208","5.23948579788208"
"4800","5.265080080032349","5.265080080032349","5.265080080032349"
"4900","5.141556496620178","5.141556496620178","5.141556496620178"
"5000","5.193227024078369","5.193227024078369","5.193227024078369"
"5100","5.109617507457733","5.109617507457733","5.109617507457733"
"5200","5.107802295684815","5.107802295684815","5.107802295684815"
"5300","5.105183744430542","5.105183744430542","5.105183744430542"
"5400","5.0860870790481565","5.0860870790481565","5.0860870790481565"
"5500","5.086689400672912","5.086689400672912","5.086689400672912"
"5600","5.044682993888855","5.044682993888855","5.044682993888855"
"5700","5.029330821037292","5.029330821037292","5.029330821037292"
"5800","5.058578791618348","5.058578791618348","5.058578791618348"
"5900","5.113033361434937","5.113033361434937","5.113033361434937"
"6000","5.016892409324646","5.016892409324646","5.016892409324646"
"6100","5.051900038719177","5.051900038719177","5.051900038719177"
"6200","4.995407590866089","4.995407590866089","4.995407590866089"
"6300","5.0257101821899415","5.0257101821899415","5.0257101821899415"
"6400","4.966569561958313","4.966569561958313","4.966569561958313"
"6500","4.956377885341644","4.956377885341644","4.956377885341644"
"6600","5.01871666431427","5.01871666431427","5.01871666431427"
"6700","4.906641354560852","4.906641354560852","4.906641354560852"
"6800","4.958685064315796","4.958685064315796","4.958685064315796"
"6900","4.888601624965668","4.888601624965668","4.888601624965668"
"7000","4.902098195552826","4.902098195552826","4.902098195552826"
"7100","4.834136667251587","4.834136667251587","4.834136667251587"
"7200","4.901066293716431","4.901066293716431","4.901066293716431"
"7300","4.840395019054413","4.840395019054413","4.840395019054413"
"7400","4.8918500423431395","4.8918500423431395","4.8918500423431395"
"7500","4.846206641197204","4.846206641197204","4.846206641197204"
"7600","4.870597143173217","4.870597143173217","4.870597143173217"
"7700","4.85894021987915","4.85894021987915","4.85894021987915"
"7800","4.803096418380737","4.803096418380737","4.803096418380737"
"7900","4.833527412414551","4.833527412414551","4.833527412414551"
"8000","4.830976972579956","4.830976972579956","4.830976972579956"
"8100","4.795075726509094","4.795075726509094","4.795075726509094"
"8200","4.733275339603424","4.733275339603424","4.733275339603424"
