"Step","mse - loss","mse - loss__MIN","mse - loss__MAX"
"100","5.298049614429474","5.298049614429474","5.298049614429474"
"200","2.347677810192108","2.347677810192108","2.347677810192108"
"300","2.175373376607895","2.175373376607895","2.175373376607895"
"400","2.063357803821564","2.063357803821564","2.063357803821564"
"500","1.9175755310058593","1.9175755310058593","1.9175755310058593"
"600","1.8186359930038452","1.8186359930038452","1.8186359930038452"
"700","1.747211867570877","1.747211867570877","1.747211867570877"
"800","1.6615912652015685","1.6615912652015685","1.6615912652015685"
"900","1.6331918597221375","1.6331918597221375","1.6331918597221375"
"1000","1.582461885213852","1.582461885213852","1.582461885213852"
"1100","1.5289752459526063","1.5289752459526063","1.5289752459526063"
"1200","1.5021456801891326","1.5021456801891326","1.5021456801891326"
"1300","1.471456687450409","1.471456687450409","1.471456687450409"
"1400","1.420317794084549","1.420317794084549","1.420317794084549"
"1500","1.4360042136907578","1.4360042136907578","1.4360042136907578"
"1600","1.3834361284971237","1.3834361284971237","1.3834361284971237"
"1700","1.3458370369672776","1.3458370369672776","1.3458370369672776"
"1800","1.3699379694461822","1.3699379694461822","1.3699379694461822"
"1900","1.2900869458913804","1.2900869458913804","1.2900869458913804"
"2000","1.2983542168140412","1.2983542168140412","1.2983542168140412"
"2100","1.2641788876056672","1.2641788876056672","1.2641788876056672"
"2200","1.2961109644174575","1.2961109644174575","1.2961109644174575"
"2300","1.2150232940912247","1.2150232940912247","1.2150232940912247"
"2400","1.199766930937767","1.199766930937767","1.199766930937767"
"2500","1.229775875210762","1.229775875210762","1.229775875210762"
"2600","1.181051419377327","1.181051419377327","1.181051419377327"
"2700","1.150201205611229","1.150201205611229","1.150201205611229"
"2800","1.155605599284172","1.155605599284172","1.155605599284172"
"2900","1.1167800104618073","1.1167800104618073","1.1167800104618073"
"3000","1.130631816983223","1.130631816983223","1.130631816983223"
"3100","1.094995893239975","1.094995893239975","1.094995893239975"
"3200","1.081838409304619","1.081838409304619","1.081838409304619"
"3300","1.1089569556713104","1.1089569556713104","1.1089569556713104"
"3400","1.0399030256271362","1.0399030256271362","1.0399030256271362"
"3500","1.063043348789215","1.063043348789215","1.063043348789215"
"3600","1.0282211750745773","1.0282211750745773","1.0282211750745773"
"3700","1.0107719749212265","1.0107719749212265","1.0107719749212265"
"3800","1.0433686167001723","1.0433686167001723","1.0433686167001723"
"3900","1.0153608518838881","1.0153608518838881","1.0153608518838881"
"4000","1.0043275606632234","1.0043275606632234","1.0043275606632234"
"4100","0.9739673668146134","0.9739673668146134","0.9739673668146134"
"4200","0.9732604664564133","0.9732604664564133","0.9732604664564133"
"4300","0.9813918244838714","0.9813918244838714","0.9813918244838714"
