"Step","flow - eval/mean_reward","flow - eval/mean_reward__MIN","flow - eval/mean_reward__MAX"
"10000","0.33199083599932705","0.33199083599932705","0.33199083599932705"
"20000","0.4686459610405662","0.4686459610405662","0.4686459610405662"
"30000","0.5886467568751302","0.5886467568751302","0.5886467568751302"
"40000","0.7131109620335678","0.7131109620335678","0.7131109620335678"
"50000","0.7667161778375347","0.7667161778375347","0.7667161778375347"
"60000","0.7359270962368301","0.7359270962368301","0.7359270962368301"
"70000","0.780091804141989","0.780091804141989","0.780091804141989"
"80000","0.8401029858806502","0.8401029858806502","0.8401029858806502"
"90000","0.8467667108290899","0.8467667108290899","0.8467667108290899"
"100000","0.8656000400866793","0.8656000400866793","0.8656000400866793"
"110000","0.8703789226471917","0.8703789226471917","0.8703789226471917"
"120000","0.8757795760305334","0.8757795760305334","0.8757795760305334"
"130000","0.8649578504360592","0.8649578504360592","0.8649578504360592"
