"Step","cheetah_baseline_bgs_1 - Baseline Loss","cheetah_baseline_bgs_1 - Baseline Loss__MIN","cheetah_baseline_bgs_1 - Baseline Loss__MAX","cheetah_baseline_lr_001 - Baseline Loss","cheetah_baseline_lr_001 - Baseline Loss__MIN","cheetah_baseline_lr_001 - Baseline Loss__MAX","cheetah_baseline - Baseline Loss","cheetah_baseline - Baseline Loss__MIN","cheetah_baseline - Baseline Loss__MAX"
"0","191.0191192626953","191.0191192626953","191.0191192626953","195.1267883300781","195.1267883300781","195.1267883300781","185.97396545410157","185.97396545410157","185.97396545410157"
"1","217.0956573486328","217.0956573486328","217.0956573486328","204.16612854003907","204.16612854003907","204.16612854003907","135.30117492675782","135.30117492675782","135.30117492675782"
"2","243.1079559326172","243.1079559326172","243.1079559326172","233.1564971923828","233.1564971923828","233.1564971923828","90.82754211425781","90.82754211425781","90.82754211425781"
"3","309.1702575683594","309.1702575683594","309.1702575683594","345.872998046875","345.872998046875","345.872998046875","68.38780975341797","68.38780975341797","68.38780975341797"
"4","321.72930908203125","321.72930908203125","321.72930908203125","408.2883666992187","408.2883666992187","408.2883666992187","41.95112533569336","41.95112533569336","41.95112533569336"
"5","308.3090515136719","308.3090515136719","308.3090515136719","389.2785949707031","389.2785949707031","389.2785949707031","36.34096984863281","36.34096984863281","36.34096984863281"
"6","355.423583984375","355.423583984375","355.423583984375","401.83424072265626","401.83424072265626","401.83424072265626","32.58905029296875","32.58905029296875","32.58905029296875"
"7","353.3415832519531","353.3415832519531","353.3415832519531","457.524560546875","457.524560546875","457.524560546875","197.83562622070312","197.83562622070312","197.83562622070312"
"8","367.9164123535156","367.9164123535156","367.9164123535156","389.9316772460937","389.9316772460937","389.9316772460937","34.05775184631348","34.05775184631348","34.05775184631348"
"9","268.641357421875","268.641357421875","268.641357421875","317.1989318847656","317.1989318847656","317.1989318847656","77.12472076416016","77.12472076416016","77.12472076416016"
"10","256.36151123046875","256.36151123046875","256.36151123046875","267.3284423828125","267.3284423828125","267.3284423828125","27.543265914916994","27.543265914916994","27.543265914916994"
