"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"20","-80.36351013183594","-80.36351013183594","-80.36351013183594","-91.74524688720703","-91.74524688720703","-91.74524688720703","-107.48358154296875","-107.48358154296875","-107.48358154296875","-75.55987548828125","-75.55987548828125","-75.55987548828125","-108.51280975341797","-108.51280975341797","-108.51280975341797"
"21","-82.4404296875","-82.4404296875","-82.4404296875","-79.31782531738281","-79.31782531738281","-79.31782531738281","-120.79605865478516","-120.79605865478516","-120.79605865478516","-60.79016876220703","-60.79016876220703","-60.79016876220703","-97.7824478149414","-97.7824478149414","-97.7824478149414"
"22","-53.051963806152344","-53.051963806152344","-53.051963806152344","-123.3848648071289","-123.3848648071289","-123.3848648071289","-117.67855834960938","-117.67855834960938","-117.67855834960938","-52.195186614990234","-52.195186614990234","-52.195186614990234","-96.78131866455078","-96.78131866455078","-96.78131866455078"
"23","-135.24337768554688","-135.24337768554688","-135.24337768554688","-60.6363639831543","-60.6363639831543","-60.6363639831543","-95.90133666992188","-95.90133666992188","-95.90133666992188","-35.065494537353516","-35.065494537353516","-35.065494537353516","-92.23074340820312","-92.23074340820312","-92.23074340820312"
"24","-175.0220184326172","-175.0220184326172","-175.0220184326172","-96.67911529541016","-96.67911529541016","-96.67911529541016","-105.83335876464844","-105.83335876464844","-105.83335876464844","-50.979698181152344","-50.979698181152344","-50.979698181152344","-60.21206283569336","-60.21206283569336","-60.21206283569336"
"25","-177.3421630859375","-177.3421630859375","-177.3421630859375","-98.03558349609375","-98.03558349609375","-98.03558349609375","-71.25292205810547","-71.25292205810547","-71.25292205810547","-66.45319366455078","-66.45319366455078","-66.45319366455078","-70.5923080444336","-70.5923080444336","-70.5923080444336"
"26","-212.00045776367188","-212.00045776367188","-212.00045776367188","-114.42308807373047","-114.42308807373047","-114.42308807373047","-104.7311782836914","-104.7311782836914","-104.7311782836914","-72.6393814086914","-72.6393814086914","-72.6393814086914","-31.865036010742188","-31.865036010742188","-31.865036010742188"
"27","-148.98330688476562","-148.98330688476562","-148.98330688476562","-87.86383056640625","-87.86383056640625","-87.86383056640625","-72.81512451171875","-72.81512451171875","-72.81512451171875","-155.16712951660156","-155.16712951660156","-155.16712951660156","-43.9072265625","-43.9072265625","-43.9072265625"
"28","-182.88265991210938","-182.88265991210938","-182.88265991210938","-92.8993148803711","-92.8993148803711","-92.8993148803711","-74.71546936035156","-74.71546936035156","-74.71546936035156","-15.357827186584473","-15.357827186584473","-15.357827186584473","-29.92725372314453","-29.92725372314453","-29.92725372314453"
"29","-144.24990844726562","-144.24990844726562","-144.24990844726562","-137.340576171875","-137.340576171875","-137.340576171875","-71.12019348144531","-71.12019348144531","-71.12019348144531","-80.25138854980469","-80.25138854980469","-80.25138854980469","-1.5781714916229248","-1.5781714916229248","-1.5781714916229248"
