"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"79","-163.61749267578125","-163.61749267578125","-163.61749267578125","45.329471588134766","45.329471588134766","45.329471588134766","29.88364601135254","29.88364601135254","29.88364601135254","35.59791946411133","35.59791946411133","35.59791946411133","-2.568309783935547","-2.568309783935547","-2.568309783935547"
"80","-105.4480209350586","-105.4480209350586","-105.4480209350586","-22.048072814941406","-22.048072814941406","-22.048072814941406","35.266441345214844","35.266441345214844","35.266441345214844","32.237762451171875","32.237762451171875","32.237762451171875","-53.98466110229492","-53.98466110229492","-53.98466110229492"
"81","-147.228515625","-147.228515625","-147.228515625","-32.678897857666016","-32.678897857666016","-32.678897857666016","90.72901916503906","90.72901916503906","90.72901916503906","-33.35430908203125","-33.35430908203125","-33.35430908203125","-50.71327209472656","-50.71327209472656","-50.71327209472656"
"82","-124.38075256347656","-124.38075256347656","-124.38075256347656","11.381895065307617","11.381895065307617","11.381895065307617","85.89849853515625","85.89849853515625","85.89849853515625","-66.31988525390625","-66.31988525390625","-66.31988525390625","-42.24195861816406","-42.24195861816406","-42.24195861816406"
"83","-147.05081176757812","-147.05081176757812","-147.05081176757812","82.25596618652344","82.25596618652344","82.25596618652344","68.36347198486328","68.36347198486328","68.36347198486328","-86.77676391601562","-86.77676391601562","-86.77676391601562","-14.071002960205078","-14.071002960205078","-14.071002960205078"
"84","-97.91527557373047","-97.91527557373047","-97.91527557373047","5.594595432281494","5.594595432281494","5.594595432281494","-32.63887405395508","-32.63887405395508","-32.63887405395508","-34.18109130859375","-34.18109130859375","-34.18109130859375","-29.9575138092041","-29.9575138092041","-29.9575138092041"
"85","-106.82234191894531","-106.82234191894531","-106.82234191894531","45.57456970214844","45.57456970214844","45.57456970214844","79.92320251464844","79.92320251464844","79.92320251464844","24.879413604736328","24.879413604736328","24.879413604736328","-63.814300537109375","-63.814300537109375","-63.814300537109375"
"86","-37.951847076416016","-37.951847076416016","-37.951847076416016","28.234113693237305","28.234113693237305","28.234113693237305","67.53543853759766","67.53543853759766","67.53543853759766","-9.709399223327637","-9.709399223327637","-9.709399223327637","-39.11163330078125","-39.11163330078125","-39.11163330078125"
"87","-91.87747955322266","-91.87747955322266","-91.87747955322266","54.25921630859375","54.25921630859375","54.25921630859375","-19.512615203857422","-19.512615203857422","-19.512615203857422","-110.03401947021484","-110.03401947021484","-110.03401947021484","-28.43137550354004","-28.43137550354004","-28.43137550354004"
"88","-153.4110565185547","-153.4110565185547","-153.4110565185547","23.489715576171875","23.489715576171875","23.489715576171875","-48.5031623840332","-48.5031623840332","-48.5031623840332","-61.10459899902344","-61.10459899902344","-61.10459899902344","-31.922199249267578","-31.922199249267578","-31.922199249267578"
"89","-117.64718627929688","-117.64718627929688","-117.64718627929688","38.630184173583984","38.630184173583984","38.630184173583984","73.14434814453125","73.14434814453125","73.14434814453125","-128.15640258789062","-128.15640258789062","-128.15640258789062","-20.415651321411133","-20.415651321411133","-20.415651321411133"
"90","-101.9142074584961","-101.9142074584961","-101.9142074584961","131.849365234375","131.849365234375","131.849365234375","-27.67406463623047","-27.67406463623047","-27.67406463623047","9.28261661529541","9.28261661529541","9.28261661529541","-9.107773780822754","-9.107773780822754","-9.107773780822754"
"91","-96.88618469238281","-96.88618469238281","-96.88618469238281","62.31863784790039","62.31863784790039","62.31863784790039","26.164447784423828","26.164447784423828","26.164447784423828","14.307621955871582","14.307621955871582","14.307621955871582","-55.95574951171875","-55.95574951171875","-55.95574951171875"
"92","-139.4770965576172","-139.4770965576172","-139.4770965576172","51.5828742980957","51.5828742980957","51.5828742980957","53.59800720214844","53.59800720214844","53.59800720214844","-27.21784210205078","-27.21784210205078","-27.21784210205078","-37.84369659423828","-37.84369659423828","-37.84369659423828"
"93","-125.9293441772461","-125.9293441772461","-125.9293441772461","46.934059143066406","46.934059143066406","46.934059143066406","119.07644653320312","119.07644653320312","119.07644653320312","64.43868255615234","64.43868255615234","64.43868255615234","-37.98594665527344","-37.98594665527344","-37.98594665527344"
"94","-133.84597778320312","-133.84597778320312","-133.84597778320312","56.598148345947266","56.598148345947266","56.598148345947266","67.33435821533203","67.33435821533203","67.33435821533203","39.474735260009766","39.474735260009766","39.474735260009766","-16.242624282836914","-16.242624282836914","-16.242624282836914"
"95","-117.84457397460938","-117.84457397460938","-117.84457397460938","63.16659927368164","63.16659927368164","63.16659927368164","105.51222229003906","105.51222229003906","105.51222229003906","66.48040008544922","66.48040008544922","66.48040008544922","-21.34605598449707","-21.34605598449707","-21.34605598449707"
"96","-100.98778533935547","-100.98778533935547","-100.98778533935547","60.307804107666016","60.307804107666016","60.307804107666016","90.09414672851562","90.09414672851562","90.09414672851562","66.34083557128906","66.34083557128906","66.34083557128906","-16.967594146728516","-16.967594146728516","-16.967594146728516"
"97","-91.45761108398438","-91.45761108398438","-91.45761108398438","129.04580688476562","129.04580688476562","129.04580688476562","65.69738006591797","65.69738006591797","65.69738006591797","97.6824951171875","97.6824951171875","97.6824951171875","-60.690956115722656","-60.690956115722656","-60.690956115722656"
"98","-41.775936126708984","-41.775936126708984","-41.775936126708984","97.88859558105469","97.88859558105469","97.88859558105469","127.0283203125","127.0283203125","127.0283203125","62.70280456542969","62.70280456542969","62.70280456542969","-40.44915008544922","-40.44915008544922","-40.44915008544922"
"99","-61.37633514404297","-61.37633514404297","-61.37633514404297","66.30366516113281","66.30366516113281","66.30366516113281","48.34303283691406","48.34303283691406","48.34303283691406","86.61383819580078","86.61383819580078","86.61383819580078","-66.38935089111328","-66.38935089111328","-66.38935089111328"
"100","-59.03251266479492","-59.03251266479492","-59.03251266479492","60.41789245605469","60.41789245605469","60.41789245605469","140.606201171875","140.606201171875","140.606201171875","114.78966522216797","114.78966522216797","114.78966522216797","-84.65631103515625","-84.65631103515625","-84.65631103515625"
"101","-77.78585052490234","-77.78585052490234","-77.78585052490234","1.1741008758544922","1.1741008758544922","1.1741008758544922","86.53885650634766","86.53885650634766","86.53885650634766","127.56411743164062","127.56411743164062","127.56411743164062","-33.39346694946289","-33.39346694946289","-33.39346694946289"
"102","84.66064453125","84.66064453125","84.66064453125","80.66889190673828","80.66889190673828","80.66889190673828","113.60653686523438","113.60653686523438","113.60653686523438","46.61720275878906","46.61720275878906","46.61720275878906","-71.80512237548828","-71.80512237548828","-71.80512237548828"
"103","19.413789749145508","19.413789749145508","19.413789749145508","68.06696319580078","68.06696319580078","68.06696319580078","110.89541625976562","110.89541625976562","110.89541625976562","62.42694854736328","62.42694854736328","62.42694854736328","-51.80733108520508","-51.80733108520508","-51.80733108520508"
"104","-67.12251281738281","-67.12251281738281","-67.12251281738281","65.28290557861328","65.28290557861328","65.28290557861328","76.8030014038086","76.8030014038086","76.8030014038086","57.48531723022461","57.48531723022461","57.48531723022461","-87.9549560546875","-87.9549560546875","-87.9549560546875"
"105","-38.18055725097656","-38.18055725097656","-38.18055725097656","97.4837417602539","97.4837417602539","97.4837417602539","114.57464599609375","114.57464599609375","114.57464599609375","140.526123046875","140.526123046875","140.526123046875","-76.48149871826172","-76.48149871826172","-76.48149871826172"
"106","69.29559326171875","69.29559326171875","69.29559326171875","106.4574966430664","106.4574966430664","106.4574966430664","70.18795013427734","70.18795013427734","70.18795013427734","75.69744110107422","75.69744110107422","75.69744110107422","-127.31363677978516","-127.31363677978516","-127.31363677978516"
"107","-132.19659423828125","-132.19659423828125","-132.19659423828125","73.8651123046875","73.8651123046875","73.8651123046875","90.90953063964844","90.90953063964844","90.90953063964844","109.52088928222656","109.52088928222656","109.52088928222656","-105.03286743164062","-105.03286743164062","-105.03286743164062"
"108","99.28424072265625","99.28424072265625","99.28424072265625","142.9547882080078","142.9547882080078","142.9547882080078","68.31741333007812","68.31741333007812","68.31741333007812","136.29727172851562","136.29727172851562","136.29727172851562","-91.44670104980469","-91.44670104980469","-91.44670104980469"
"109","-85.49605560302734","-85.49605560302734","-85.49605560302734","84.39064025878906","84.39064025878906","84.39064025878906","88.15216064453125","88.15216064453125","88.15216064453125","105.361572265625","105.361572265625","105.361572265625","-48.73768997192383","-48.73768997192383","-48.73768997192383"
"110","-160.48056030273438","-160.48056030273438","-160.48056030273438","125.560791015625","125.560791015625","125.560791015625","122.9476547241211","122.9476547241211","122.9476547241211","105.16162872314453","105.16162872314453","105.16162872314453","-85.17427062988281","-85.17427062988281","-85.17427062988281"
"111","-11.012524604797363","-11.012524604797363","-11.012524604797363","49.928245544433594","49.928245544433594","49.928245544433594","83.80638885498047","83.80638885498047","83.80638885498047","118.37005615234375","118.37005615234375","118.37005615234375","-43.64881134033203","-43.64881134033203","-43.64881134033203"
"112","-107.27664947509766","-107.27664947509766","-107.27664947509766","22.93549919128418","22.93549919128418","22.93549919128418","98.77074432373047","98.77074432373047","98.77074432373047","117.93839263916016","117.93839263916016","117.93839263916016","-58.31890106201172","-58.31890106201172","-58.31890106201172"
"113","-43.352779388427734","-43.352779388427734","-43.352779388427734","102.00479125976562","102.00479125976562","102.00479125976562","114.22743225097656","114.22743225097656","114.22743225097656","128.18118286132812","128.18118286132812","128.18118286132812","-12.793044090270996","-12.793044090270996","-12.793044090270996"
"114","-83.45185852050781","-83.45185852050781","-83.45185852050781","126.10563659667969","126.10563659667969","126.10563659667969","134.20309448242188","134.20309448242188","134.20309448242188","118.87522888183594","118.87522888183594","118.87522888183594","-33.780517578125","-33.780517578125","-33.780517578125"
"115","-174.43080139160156","-174.43080139160156","-174.43080139160156","80.05023956298828","80.05023956298828","80.05023956298828","121.99957275390625","121.99957275390625","121.99957275390625","131.46177673339844","131.46177673339844","131.46177673339844","-7.250577926635742","-7.250577926635742","-7.250577926635742"
"116","-135.2727813720703","-135.2727813720703","-135.2727813720703","130.89471435546875","130.89471435546875","130.89471435546875","83.71634674072266","83.71634674072266","83.71634674072266","97.25867462158203","97.25867462158203","97.25867462158203","-36.70946502685547","-36.70946502685547","-36.70946502685547"
"117","-141.93821716308594","-141.93821716308594","-141.93821716308594","154.15542602539062","154.15542602539062","154.15542602539062","80.6533203125","80.6533203125","80.6533203125","138.62364196777344","138.62364196777344","138.62364196777344","17.918752670288086","17.918752670288086","17.918752670288086"
"118","-151.7564239501953","-151.7564239501953","-151.7564239501953","90.866943359375","90.866943359375","90.866943359375","75.05274963378906","75.05274963378906","75.05274963378906","111.19662475585938","111.19662475585938","111.19662475585938","36.71794891357422","36.71794891357422","36.71794891357422"
"119","-163.57550048828125","-163.57550048828125","-163.57550048828125","152.26356506347656","152.26356506347656","152.26356506347656","60.39129638671875","60.39129638671875","60.39129638671875","103.29085540771484","103.29085540771484","103.29085540771484","-21.64057159423828","-21.64057159423828","-21.64057159423828"
"120","-153.0839385986328","-153.0839385986328","-153.0839385986328","128.4725799560547","128.4725799560547","128.4725799560547","75.8945541381836","75.8945541381836","75.8945541381836","144.8987274169922","144.8987274169922","144.8987274169922","-3.2625324726104736","-3.2625324726104736","-3.2625324726104736"
"121","-131.6307373046875","-131.6307373046875","-131.6307373046875","143.01988220214844","143.01988220214844","143.01988220214844","93.86414337158203","93.86414337158203","93.86414337158203","124.0453872680664","124.0453872680664","124.0453872680664","26.727020263671875","26.727020263671875","26.727020263671875"
"122","-209.96295166015625","-209.96295166015625","-209.96295166015625","90.5353012084961","90.5353012084961","90.5353012084961","125.4505386352539","125.4505386352539","125.4505386352539","89.6424789428711","89.6424789428711","89.6424789428711","9.581937789916992","9.581937789916992","9.581937789916992"
"123","-71.7990951538086","-71.7990951538086","-71.7990951538086","121.00933837890625","121.00933837890625","121.00933837890625","88.28787231445312","88.28787231445312","88.28787231445312","125.22152709960938","125.22152709960938","125.22152709960938","-19.55582046508789","-19.55582046508789","-19.55582046508789"
"124","7.2974395751953125","7.2974395751953125","7.2974395751953125","114.09381866455078","114.09381866455078","114.09381866455078","67.47777557373047","67.47777557373047","67.47777557373047","130.43154907226562","130.43154907226562","130.43154907226562","-47.94648742675781","-47.94648742675781","-47.94648742675781"
"125","-94.36295318603516","-94.36295318603516","-94.36295318603516","142.10507202148438","142.10507202148438","142.10507202148438","123.97401428222656","123.97401428222656","123.97401428222656","104.16877746582031","104.16877746582031","104.16877746582031","-63.0234375","-63.0234375","-63.0234375"
"126","-65.90579223632812","-65.90579223632812","-65.90579223632812","122.28838348388672","122.28838348388672","122.28838348388672","54.01459884643555","54.01459884643555","54.01459884643555","94.78034973144531","94.78034973144531","94.78034973144531","-40.565223693847656","-40.565223693847656","-40.565223693847656"
"127","-52.94548797607422","-52.94548797607422","-52.94548797607422","128.92234802246094","128.92234802246094","128.92234802246094","95.38046264648438","95.38046264648438","95.38046264648438","126.65717315673828","126.65717315673828","126.65717315673828","-49.472816467285156","-49.472816467285156","-49.472816467285156"
"128","-56.897701263427734","-56.897701263427734","-56.897701263427734","61.30374526977539","61.30374526977539","61.30374526977539","122.94792938232422","122.94792938232422","122.94792938232422","74.0881576538086","74.0881576538086","74.0881576538086","-67.19348907470703","-67.19348907470703","-67.19348907470703"
"129","-35.61766815185547","-35.61766815185547","-35.61766815185547","127.25535583496094","127.25535583496094","127.25535583496094","75.14726257324219","75.14726257324219","75.14726257324219","29.010103225708008","29.010103225708008","29.010103225708008","-56.26947784423828","-56.26947784423828","-56.26947784423828"
"130","-96.56156921386719","-96.56156921386719","-96.56156921386719","119.39680480957031","119.39680480957031","119.39680480957031","82.72286987304688","82.72286987304688","82.72286987304688","58.94996643066406","58.94996643066406","58.94996643066406","-100.42581176757812","-100.42581176757812","-100.42581176757812"
"131","-32.982017517089844","-32.982017517089844","-32.982017517089844","132.15394592285156","132.15394592285156","132.15394592285156","59.64892578125","59.64892578125","59.64892578125","92.49247741699219","92.49247741699219","92.49247741699219","-123.52256774902344","-123.52256774902344","-123.52256774902344"
"132","-70.30328369140625","-70.30328369140625","-70.30328369140625","174.23965454101562","174.23965454101562","174.23965454101562","103.14698028564453","103.14698028564453","103.14698028564453","118.91507720947266","118.91507720947266","118.91507720947266","-145.98202514648438","-145.98202514648438","-145.98202514648438"
"133","-151.54270935058594","-151.54270935058594","-151.54270935058594","109.30624389648438","109.30624389648438","109.30624389648438","118.51502990722656","118.51502990722656","118.51502990722656","123.46575927734375","123.46575927734375","123.46575927734375","-94.5865478515625","-94.5865478515625","-94.5865478515625"
"134","-118.78993225097656","-118.78993225097656","-118.78993225097656","103.25850677490234","103.25850677490234","103.25850677490234","111.80602264404297","111.80602264404297","111.80602264404297","107.2667465209961","107.2667465209961","107.2667465209961","-86.99226379394531","-86.99226379394531","-86.99226379394531"
"135","-167.79263305664062","-167.79263305664062","-167.79263305664062","79.46929168701172","79.46929168701172","79.46929168701172","71.22296905517578","71.22296905517578","71.22296905517578","137.50277709960938","137.50277709960938","137.50277709960938","-58.34959030151367","-58.34959030151367","-58.34959030151367"
"136","-160.9571533203125","-160.9571533203125","-160.9571533203125","71.16938781738281","71.16938781738281","71.16938781738281","127.06124114990234","127.06124114990234","127.06124114990234","108.3407211303711","108.3407211303711","108.3407211303711","-31.662126541137695","-31.662126541137695","-31.662126541137695"
"137","-27.531238555908203","-27.531238555908203","-27.531238555908203","71.77201843261719","71.77201843261719","71.77201843261719","55.55577087402344","55.55577087402344","55.55577087402344","70.46154022216797","70.46154022216797","70.46154022216797","-77.8499755859375","-77.8499755859375","-77.8499755859375"
"138","-155.10914611816406","-155.10914611816406","-155.10914611816406","50.24221420288086","50.24221420288086","50.24221420288086","91.58983612060547","91.58983612060547","91.58983612060547","144.15171813964844","144.15171813964844","144.15171813964844","-22.73387908935547","-22.73387908935547","-22.73387908935547"
"139","-133.1634521484375","-133.1634521484375","-133.1634521484375","81.32792663574219","81.32792663574219","81.32792663574219","121.25440979003906","121.25440979003906","121.25440979003906","158.0589141845703","158.0589141845703","158.0589141845703","-39.23992919921875","-39.23992919921875","-39.23992919921875"
"140","-71.21173858642578","-71.21173858642578","-71.21173858642578","117.7169418334961","117.7169418334961","117.7169418334961","72.10556030273438","72.10556030273438","72.10556030273438","103.4478988647461","103.4478988647461","103.4478988647461","-57.56418228149414","-57.56418228149414","-57.56418228149414"
"141","-117.72593688964844","-117.72593688964844","-117.72593688964844","76.98271179199219","76.98271179199219","76.98271179199219","110.63190460205078","110.63190460205078","110.63190460205078","111.28988647460938","111.28988647460938","111.28988647460938","-28.701007843017578","-28.701007843017578","-28.701007843017578"
"142","-81.43474578857422","-81.43474578857422","-81.43474578857422","66.44001770019531","66.44001770019531","66.44001770019531","140.47726440429688","140.47726440429688","140.47726440429688","123.45576477050781","123.45576477050781","123.45576477050781","-2.146900177001953","-2.146900177001953","-2.146900177001953"
"143","-90.44860076904297","-90.44860076904297","-90.44860076904297","166.10299682617188","166.10299682617188","166.10299682617188","57.86282730102539","57.86282730102539","57.86282730102539","128.87022399902344","128.87022399902344","128.87022399902344","-76.30467224121094","-76.30467224121094","-76.30467224121094"
"144","-66.00929260253906","-66.00929260253906","-66.00929260253906","104.80780792236328","104.80780792236328","104.80780792236328","95.8497314453125","95.8497314453125","95.8497314453125","75.62080383300781","75.62080383300781","75.62080383300781","-18.301593780517578","-18.301593780517578","-18.301593780517578"
"145","-142.63748168945312","-142.63748168945312","-142.63748168945312","148.2984619140625","148.2984619140625","148.2984619140625","48.97886276245117","48.97886276245117","48.97886276245117","119.06683349609375","119.06683349609375","119.06683349609375","-25.185165405273438","-25.185165405273438","-25.185165405273438"
"146","-158.7628173828125","-158.7628173828125","-158.7628173828125","118.57881927490234","118.57881927490234","118.57881927490234","30.330608367919922","30.330608367919922","30.330608367919922","133.8348846435547","133.8348846435547","133.8348846435547","-77.78042602539062","-77.78042602539062","-77.78042602539062"
"147","-24.77605628967285","-24.77605628967285","-24.77605628967285","99.62455749511719","99.62455749511719","99.62455749511719","80.39263916015625","80.39263916015625","80.39263916015625","77.22721862792969","77.22721862792969","77.22721862792969","-73.87396240234375","-73.87396240234375","-73.87396240234375"
"148","-104.969970703125","-104.969970703125","-104.969970703125","86.1851806640625","86.1851806640625","86.1851806640625","63.58668518066406","63.58668518066406","63.58668518066406","151.21536254882812","151.21536254882812","151.21536254882812","-60.717796325683594","-60.717796325683594","-60.717796325683594"
"149","-106.74050903320312","-106.74050903320312","-106.74050903320312","120.90779876708984","120.90779876708984","120.90779876708984","80.4827651977539","80.4827651977539","80.4827651977539","140.34432983398438","140.34432983398438","140.34432983398438","-52.885467529296875","-52.885467529296875","-52.885467529296875"
"150","-39.27400588989258","-39.27400588989258","-39.27400588989258","96.87156677246094","96.87156677246094","96.87156677246094","65.80662536621094","65.80662536621094","65.80662536621094","82.38262939453125","82.38262939453125","82.38262939453125","-23.46318817138672","-23.46318817138672","-23.46318817138672"
"151","-83.08416748046875","-83.08416748046875","-83.08416748046875","20.92292022705078","20.92292022705078","20.92292022705078","104.15267944335938","104.15267944335938","104.15267944335938","176.92149353027344","176.92149353027344","176.92149353027344","-50.812232971191406","-50.812232971191406","-50.812232971191406"
"152","-112.09718322753906","-112.09718322753906","-112.09718322753906","70.95893859863281","70.95893859863281","70.95893859863281","74.39192199707031","74.39192199707031","74.39192199707031","106.61539459228516","106.61539459228516","106.61539459228516","-27.410547256469727","-27.410547256469727","-27.410547256469727"
"153","-56.4802360534668","-56.4802360534668","-56.4802360534668","28.738882064819336","28.738882064819336","28.738882064819336","170.7732391357422","170.7732391357422","170.7732391357422","95.70257568359375","95.70257568359375","95.70257568359375","-41.751304626464844","-41.751304626464844","-41.751304626464844"
"154","-176.6473388671875","-176.6473388671875","-176.6473388671875","149.3876495361328","149.3876495361328","149.3876495361328","75.14384460449219","75.14384460449219","75.14384460449219","79.65167999267578","79.65167999267578","79.65167999267578","-36.00975799560547","-36.00975799560547","-36.00975799560547"
"155","-64.35184478759766","-64.35184478759766","-64.35184478759766","-93.34774017333984","-93.34774017333984","-93.34774017333984","164.29441833496094","164.29441833496094","164.29441833496094","139.33587646484375","139.33587646484375","139.33587646484375","-54.7190055847168","-54.7190055847168","-54.7190055847168"
"156","-125.8544921875","-125.8544921875","-125.8544921875","48.070838928222656","48.070838928222656","48.070838928222656","59.68446731567383","59.68446731567383","59.68446731567383","116.9306640625","116.9306640625","116.9306640625","-82.24742126464844","-82.24742126464844","-82.24742126464844"
"157","51.297027587890625","51.297027587890625","51.297027587890625","111.72413635253906","111.72413635253906","111.72413635253906","79.88298797607422","79.88298797607422","79.88298797607422","102.20550537109375","102.20550537109375","102.20550537109375","-86.15069580078125","-86.15069580078125","-86.15069580078125"
"158","-92.83818054199219","-92.83818054199219","-92.83818054199219","29.493629455566406","29.493629455566406","29.493629455566406","70.27565002441406","70.27565002441406","70.27565002441406","100.59014892578125","100.59014892578125","100.59014892578125","-101.91294860839844","-101.91294860839844","-101.91294860839844"
"159","13.006382942199707","13.006382942199707","13.006382942199707","23.03260612487793","23.03260612487793","23.03260612487793","84.07017517089844","84.07017517089844","84.07017517089844","98.92994689941406","98.92994689941406","98.92994689941406","-64.6390380859375","-64.6390380859375","-64.6390380859375"
"160","-85.11671447753906","-85.11671447753906","-85.11671447753906","85.1327896118164","85.1327896118164","85.1327896118164","150.60447692871094","150.60447692871094","150.60447692871094","103.5434341430664","103.5434341430664","103.5434341430664","-98.5228271484375","-98.5228271484375","-98.5228271484375"
"161","-65.09357452392578","-65.09357452392578","-65.09357452392578","18.885583877563477","18.885583877563477","18.885583877563477","112.81558227539062","112.81558227539062","112.81558227539062","68.9775619506836","68.9775619506836","68.9775619506836","-39.677547454833984","-39.677547454833984","-39.677547454833984"
"162","-67.76609802246094","-67.76609802246094","-67.76609802246094","-10.968070983886719","-10.968070983886719","-10.968070983886719","77.09815979003906","77.09815979003906","77.09815979003906","15.68947982788086","15.68947982788086","15.68947982788086","-73.69342803955078","-73.69342803955078","-73.69342803955078"
"163","-43.98579788208008","-43.98579788208008","-43.98579788208008","46.70222473144531","46.70222473144531","46.70222473144531","101.9588394165039","101.9588394165039","101.9588394165039","55.54007339477539","55.54007339477539","55.54007339477539","-69.1601333618164","-69.1601333618164","-69.1601333618164"
"164","-133.01644897460938","-133.01644897460938","-133.01644897460938","82.73066711425781","82.73066711425781","82.73066711425781","52.467124938964844","52.467124938964844","52.467124938964844","44.36646270751953","44.36646270751953","44.36646270751953","-49.921241760253906","-49.921241760253906","-49.921241760253906"
"165","-159.6929473876953","-159.6929473876953","-159.6929473876953","27.961885452270508","27.961885452270508","27.961885452270508","123.2533187866211","123.2533187866211","123.2533187866211","82.4373779296875","82.4373779296875","82.4373779296875","-43.63490295410156","-43.63490295410156","-43.63490295410156"
"166","-69.97423553466797","-69.97423553466797","-69.97423553466797","110.96769714355469","110.96769714355469","110.96769714355469","118.41314697265625","118.41314697265625","118.41314697265625","77.47306060791016","77.47306060791016","77.47306060791016","-43.924232482910156","-43.924232482910156","-43.924232482910156"
"167","16.74796485900879","16.74796485900879","16.74796485900879","114.30111694335938","114.30111694335938","114.30111694335938","24.34847640991211","24.34847640991211","24.34847640991211","102.45037078857422","102.45037078857422","102.45037078857422","-68.32441711425781","-68.32441711425781","-68.32441711425781"
"168","-88.50152587890625","-88.50152587890625","-88.50152587890625","97.5910415649414","97.5910415649414","97.5910415649414","132.81861877441406","132.81861877441406","132.81861877441406","92.95236206054688","92.95236206054688","92.95236206054688","-18.945703506469727","-18.945703506469727","-18.945703506469727"
"169","-153.58859252929688","-153.58859252929688","-153.58859252929688","84.91937255859375","84.91937255859375","84.91937255859375","68.06376647949219","68.06376647949219","68.06376647949219","117.04972839355469","117.04972839355469","117.04972839355469","-31.46418571472168","-31.46418571472168","-31.46418571472168"
"170","-27.87099266052246","-27.87099266052246","-27.87099266052246","118.80927276611328","118.80927276611328","118.80927276611328","36.78993606567383","36.78993606567383","36.78993606567383","146.46629333496094","146.46629333496094","146.46629333496094","-29.769107818603516","-29.769107818603516","-29.769107818603516"
"171","-25.88674545288086","-25.88674545288086","-25.88674545288086","47.67219161987305","47.67219161987305","47.67219161987305","-43.91365051269531","-43.91365051269531","-43.91365051269531","139.114013671875","139.114013671875","139.114013671875","-46.73097229003906","-46.73097229003906","-46.73097229003906"
"172","-30.269712448120117","-30.269712448120117","-30.269712448120117","131.83079528808594","131.83079528808594","131.83079528808594","-0.5324687957763672","-0.5324687957763672","-0.5324687957763672","149.9520721435547","149.9520721435547","149.9520721435547","-33.25780487060547","-33.25780487060547","-33.25780487060547"
"173","-103.33834838867188","-103.33834838867188","-103.33834838867188","70.65462493896484","70.65462493896484","70.65462493896484","-3.1050338745117188","-3.1050338745117188","-3.1050338745117188","150.6062774658203","150.6062774658203","150.6062774658203","-16.349246978759766","-16.349246978759766","-16.349246978759766"
"174","-105.9446029663086","-105.9446029663086","-105.9446029663086","84.40573120117188","84.40573120117188","84.40573120117188","-18.865642547607422","-18.865642547607422","-18.865642547607422","37.36875915527344","37.36875915527344","37.36875915527344","-41.89559555053711","-41.89559555053711","-41.89559555053711"
"175","-115.3092041015625","-115.3092041015625","-115.3092041015625","130.96023559570312","130.96023559570312","130.96023559570312","-13.007692337036133","-13.007692337036133","-13.007692337036133","124.15362548828125","124.15362548828125","124.15362548828125","-21.120264053344727","-21.120264053344727","-21.120264053344727"
"176","-114.3109130859375","-114.3109130859375","-114.3109130859375","-11.872262954711914","-11.872262954711914","-11.872262954711914","-6.614810943603516","-6.614810943603516","-6.614810943603516","131.49623107910156","131.49623107910156","131.49623107910156","-42.083961486816406","-42.083961486816406","-42.083961486816406"
"177","-76.78795623779297","-76.78795623779297","-76.78795623779297","78.10578155517578","78.10578155517578","78.10578155517578","78.59989166259766","78.59989166259766","78.59989166259766","103.60350036621094","103.60350036621094","103.60350036621094","-47.180870056152344","-47.180870056152344","-47.180870056152344"
"178","-135.69692993164062","-135.69692993164062","-135.69692993164062","92.07975769042969","92.07975769042969","92.07975769042969","51.4903564453125","51.4903564453125","51.4903564453125","108.29950714111328","108.29950714111328","108.29950714111328","-39.976070404052734","-39.976070404052734","-39.976070404052734"
"179","-78.87373352050781","-78.87373352050781","-78.87373352050781","81.31144714355469","81.31144714355469","81.31144714355469","147.17147827148438","147.17147827148438","147.17147827148438","144.840087890625","144.840087890625","144.840087890625","-76.96881866455078","-76.96881866455078","-76.96881866455078"
"180","-57.49253845214844","-57.49253845214844","-57.49253845214844","110.3841781616211","110.3841781616211","110.3841781616211","88.77186584472656","88.77186584472656","88.77186584472656","66.49147033691406","66.49147033691406","66.49147033691406","-44.47557067871094","-44.47557067871094","-44.47557067871094"
"181","-70.79801177978516","-70.79801177978516","-70.79801177978516","116.09098815917969","116.09098815917969","116.09098815917969","105.78912353515625","105.78912353515625","105.78912353515625","82.00946044921875","82.00946044921875","82.00946044921875","-42.02732849121094","-42.02732849121094","-42.02732849121094"
"182","-45.68073272705078","-45.68073272705078","-45.68073272705078","44.26531982421875","44.26531982421875","44.26531982421875","85.71221923828125","85.71221923828125","85.71221923828125","157.04443359375","157.04443359375","157.04443359375","-45.12956619262695","-45.12956619262695","-45.12956619262695"
