"Step","diffusion - eval/mean_reward","diffusion - eval/mean_reward__MIN","diffusion - eval/mean_reward__MAX"
"10000","0.20526956729523038","0.20526956729523038","0.20526956729523038"
"20000","0.4174159903873012","0.4174159903873012","0.4174159903873012"
"30000","0.5525876821631089","0.5525876821631089","0.5525876821631089"
"40000","0.7198864369173248","0.7198864369173248","0.7198864369173248"
"50000","0.6711458320276102","0.6711458320276102","0.6711458320276102"
"60000","0.8030219398881687","0.8030219398881687","0.8030219398881687"
"70000","0.8440068192297783","0.8440068192297783","0.8440068192297783"
"80000","0.8353682121959243","0.8353682121959243","0.8353682121959243"
"90000","0.8889594278678701","0.8889594278678701","0.8889594278678701"
"100000","0.8466827734705166","0.8466827734705166","0.8466827734705166"
"110000","0.8873626323143579","0.8873626323143579","0.8873626323143579"
"120000","0.8625042569218117","0.8625042569218117","0.8625042569218117"
"130000","0.8822051869201253","0.8822051869201253","0.8822051869201253"
