"Step","diffusion - loss","diffusion - loss__MIN","diffusion - loss__MAX"
"100","0.5375814554095268","0.5375814554095268","0.5375814554095268"
"200","0.3389862385392189","0.3389862385392189","0.3389862385392189"
"300","0.2929791006445885","0.2929791006445885","0.2929791006445885"
"400","0.24776849314570426","0.24776849314570426","0.24776849314570426"
"500","0.2342391587793827","0.2342391587793827","0.2342391587793827"
"600","0.2212406276166439","0.2212406276166439","0.2212406276166439"
"700","0.209432442933321","0.209432442933321","0.209432442933321"
"800","0.20652784481644632","0.20652784481644632","0.20652784481644632"
"900","0.19928265392780303","0.19928265392780303","0.19928265392780303"
"1000","0.19734945088624956","0.19734945088624956","0.19734945088624956"
"1100","0.19347721770405768","0.19347721770405768","0.19347721770405768"
"1200","0.1936679470539093","0.1936679470539093","0.1936679470539093"
"1300","0.1913455107808113","0.1913455107808113","0.1913455107808113"
"1400","0.18884004339575766","0.18884004339575766","0.18884004339575766"
"1500","0.1830105349421501","0.1830105349421501","0.1830105349421501"
"1600","0.18762957394123078","0.18762957394123078","0.18762957394123078"
"1700","0.1843692782521248","0.1843692782521248","0.1843692782521248"
"1800","0.18494405582547188","0.18494405582547188","0.18494405582547188"
"1900","0.18170659780502318","0.18170659780502318","0.18170659780502318"
"2000","0.18246207311749457","0.18246207311749457","0.18246207311749457"
"2100","0.18531201884150506","0.18531201884150506","0.18531201884150506"
"2200","0.18150368884205817","0.18150368884205817","0.18150368884205817"
"2300","0.1802249526977539","0.1802249526977539","0.1802249526977539"
"2400","0.1759004859626293","0.1759004859626293","0.1759004859626293"
"2500","0.179285299628973","0.179285299628973","0.179285299628973"
"2600","0.1786290554702282","0.1786290554702282","0.1786290554702282"
"2700","0.17599649369716644","0.17599649369716644","0.17599649369716644"
"2800","0.17879903197288513","0.17879903197288513","0.17879903197288513"
"2900","0.17372747257351875","0.17372747257351875","0.17372747257351875"
"3000","0.17154039248824118","0.17154039248824118","0.17154039248824118"
"3100","0.17809829488396645","0.17809829488396645","0.17809829488396645"
"3200","0.17040912583470344","0.17040912583470344","0.17040912583470344"
"3300","0.17011462032794952","0.17011462032794952","0.17011462032794952"
"3400","0.17252231523394584","0.17252231523394584","0.17252231523394584"
"3500","0.17065789192914962","0.17065789192914962","0.17065789192914962"
"3600","0.16681921854615211","0.16681921854615211","0.16681921854615211"
"3700","0.1650271624326706","0.1650271624326706","0.1650271624326706"
"3800","0.16949146658182143","0.16949146658182143","0.16949146658182143"
"3900","0.16751149490475656","0.16751149490475656","0.16751149490475656"
"4000","0.16495710700750352","0.16495710700750352","0.16495710700750352"
"4100","0.1639387471973896","0.1639387471973896","0.1639387471973896"
"4200","0.16230503849685193","0.16230503849685193","0.16230503849685193"
"4300","0.16247968018054962","0.16247968018054962","0.16247968018054962"
"4400","0.15958473458886147","0.15958473458886147","0.15958473458886147"
"4500","0.16098628848791122","0.16098628848791122","0.16098628848791122"
"4600","0.1607171142101288","0.1607171142101288","0.1607171142101288"
"4700","0.1604910260438919","0.1604910260438919","0.1604910260438919"
"4800","0.15518749251961708","0.15518749251961708","0.15518749251961708"
"4900","0.1584544036537409","0.1584544036537409","0.1584544036537409"
"5000","0.1540998474508524","0.1540998474508524","0.1540998474508524"
"5100","0.15698133908212186","0.15698133908212186","0.15698133908212186"
"5200","0.15555129662156106","0.15555129662156106","0.15555129662156106"
"5300","0.15439025580883026","0.15439025580883026","0.15439025580883026"
"5400","0.15107826948165892","0.15107826948165892","0.15107826948165892"
"5500","0.15923759497702122","0.15923759497702122","0.15923759497702122"
"5600","0.1560633061826229","0.1560633061826229","0.1560633061826229"
"5700","0.15223098739981653","0.15223098739981653","0.15223098739981653"
"5800","0.1524925272166729","0.1524925272166729","0.1524925272166729"
"5900","0.1521917659789324","0.1521917659789324","0.1521917659789324"
