"Step","cartpole_lb_rtg_na - Train_AverageReturn","cartpole_lb_rtg_na - Train_AverageReturn__MIN","cartpole_lb_rtg_na - Train_AverageReturn__MAX","cartpole_lb_na - Train_AverageReturn","cartpole_lb_na - Train_AverageReturn__MIN","cartpole_lb_na - Train_AverageReturn__MAX","cartpole_lb_rtg - Train_AverageReturn","cartpole_lb_rtg - Train_AverageReturn__MIN","cartpole_lb_rtg - Train_AverageReturn__MAX","cartpole_lb - Train_AverageReturn","cartpole_lb - Train_AverageReturn__MIN","cartpole_lb - Train_AverageReturn__MAX","cartpole_rtg_na - Train_AverageReturn","cartpole_rtg_na - Train_AverageReturn__MIN","cartpole_rtg_na - Train_AverageReturn__MAX","cartpole_na - Train_AverageReturn","cartpole_na - Train_AverageReturn__MIN","cartpole_na - Train_AverageReturn__MAX","cartpole_rtg - Train_AverageReturn","cartpole_rtg - Train_AverageReturn__MIN","cartpole_rtg - Train_AverageReturn__MAX","cartpole - Train_AverageReturn","cartpole - Train_AverageReturn__MIN","cartpole - Train_AverageReturn__MAX"
"10","152.11111450195312","152.11111450195312","152.11111450195312","131.80645751953125","131.80645751953125","131.80645751953125","151.25926208496094","151.25926208496094","151.25926208496094","79.94117736816406","79.94117736816406","79.94117736816406","78.84615325927734","78.84615325927734","78.84615325927734","109.19999694824219","109.19999694824219","109.19999694824219","114.11111450195312","114.11111450195312","114.11111450195312","67.73332977294922","67.73332977294922","67.73332977294922"
"11","160.60000610351562","160.60000610351562","160.60000610351562","135.43333435058594","135.43333435058594","135.43333435058594","138.58621215820312","138.58621215820312","138.58621215820312","105.65789794921875","105.65789794921875","105.65789794921875","103","103","103","102","102","102","150.2857208251953","150.2857208251953","150.2857208251953","56.72222137451172","56.72222137451172","56.72222137451172"
"12","151.1481475830078","151.1481475830078","151.1481475830078","161.0800018310547","161.0800018310547","161.0800018310547","155.38461303710938","155.38461303710938","155.38461303710938","127.21212005615234","127.21212005615234","127.21212005615234","85.16666412353516","85.16666412353516","85.16666412353516","129.375","129.375","129.375","128.125","128.125","128.125","63.5625","63.5625","63.5625"
"13","149.92591857910156","149.92591857910156","149.92591857910156","163.83999633789062","163.83999633789062","163.83999633789062","145.17857360839844","145.17857360839844","145.17857360839844","116.71428680419922","116.71428680419922","116.71428680419922","117.77777862548828","117.77777862548828","117.77777862548828","162.42857360839844","162.42857360839844","162.42857360839844","131.5","131.5","131.5","77.46154022216797","77.46154022216797","77.46154022216797"
"14","171.375","171.375","171.375","177.86956787109375","177.86956787109375","177.86956787109375","144.85714721679688","144.85714721679688","144.85714721679688","115.94285583496094","115.94285583496094","115.94285583496094","107","107","107","165.14285278320312","165.14285278320312","165.14285278320312","156.2857208251953","156.2857208251953","156.2857208251953","88.91666412353516","88.91666412353516","88.91666412353516"
"15","184.4545440673828","184.4545440673828","184.4545440673828","190.68182373046875","190.68182373046875","190.68182373046875","141.2413787841797","141.2413787841797","141.2413787841797","131.1290283203125","131.1290283203125","131.1290283203125","107.9000015258789","107.9000015258789","107.9000015258789","141","141","141","129.75","129.75","129.75","100.45454406738281","100.45454406738281","100.45454406738281"
"16","193.2857208251953","193.2857208251953","193.2857208251953","195.7142791748047","195.7142791748047","195.7142791748047","155.73077392578125","155.73077392578125","155.73077392578125","154.92591857910156","154.92591857910156","154.92591857910156","115.55555725097656","115.55555725097656","115.55555725097656","169.8333282470703","169.8333282470703","169.8333282470703","158.85714721679688","158.85714721679688","158.85714721679688","91.63636016845703","91.63636016845703","91.63636016845703"
"17","185.18182373046875","185.18182373046875","185.18182373046875","191.85714721679688","191.85714721679688","191.85714721679688","183.86363220214844","183.86363220214844","183.86363220214844","158.34616088867188","158.34616088867188","158.34616088867188","127","127","127","148.7142791748047","148.7142791748047","148.7142791748047","131.125","131.125","131.125","85.5","85.5","85.5"
"18","192.76190185546875","192.76190185546875","192.76190185546875","200","200","200","197.57142639160156","197.57142639160156","197.57142639160156","143.0689697265625","143.0689697265625","143.0689697265625","156.85714721679688","156.85714721679688","156.85714721679688","166.6666717529297","166.6666717529297","166.6666717529297","143.42857360839844","143.42857360839844","143.42857360839844","90.33333587646484","90.33333587646484","90.33333587646484"
"19","194.95237731933594","194.95237731933594","194.95237731933594","200","200","200","198.90475463867188","198.90475463867188","198.90475463867188","155.46153259277344","155.46153259277344","155.46153259277344","185.6666717529297","185.6666717529297","185.6666717529297","180.6666717529297","180.6666717529297","180.6666717529297","171.6666717529297","171.6666717529297","171.6666717529297","111.88888549804688","111.88888549804688","111.88888549804688"
"20","194.04762268066406","194.04762268066406","194.04762268066406","200","200","200","200","200","200","164.44000244140625","164.44000244140625","164.44000244140625","178.5","178.5","178.5","186.1666717529297","186.1666717529297","186.1666717529297","145","145","145","130.125","130.125","130.125"
"21","196.3333282470703","196.3333282470703","196.3333282470703","200","200","200","200","200","200","171.2916717529297","171.2916717529297","171.2916717529297","195.8333282470703","195.8333282470703","195.8333282470703","200","200","200","158.42857360839844","158.42857360839844","158.42857360839844","146.875","146.875","146.875"
"22","197.85714721679688","197.85714721679688","197.85714721679688","200","200","200","200","200","200","180.95652770996094","180.95652770996094","180.95652770996094","200","200","200","200","200","200","174","174","174","133.25","133.25","133.25"
"23","198.23809814453125","198.23809814453125","198.23809814453125","200","200","200","200","200","200","192.1904754638672","192.1904754638672","192.1904754638672","168.3333282470703","168.3333282470703","168.3333282470703","194.3333282470703","194.3333282470703","194.3333282470703","179.6666717529297","179.6666717529297","179.6666717529297","166.85714721679688","166.85714721679688","166.85714721679688"
"24","200","200","200","200","200","200","200","200","200","186.81817626953125","186.81817626953125","186.81817626953125","170.5","170.5","170.5","200","200","200","166.8333282470703","166.8333282470703","166.8333282470703","153.85714721679688","153.85714721679688","153.85714721679688"
"25","193.61904907226562","193.61904907226562","193.61904907226562","200","200","200","200","200","200","195.4761962890625","195.4761962890625","195.4761962890625","160","160","160","200","200","200","171","171","171","172.3333282470703","172.3333282470703","172.3333282470703"
"26","198.6666717529297","198.6666717529297","198.6666717529297","200","200","200","200","200","200","200","200","200","159.2857208251953","159.2857208251953","159.2857208251953","200","200","200","167.5","167.5","167.5","198.5","198.5","198.5"
"27","200","200","200","199.6666717529297","199.6666717529297","199.6666717529297","200","200","200","200","200","200","140.375","140.375","140.375","200","200","200","147.5","147.5","147.5","183.5","183.5","183.5"
"28","190.6666717529297","190.6666717529297","190.6666717529297","200","200","200","198.76190185546875","198.76190185546875","198.76190185546875","194.23809814453125","194.23809814453125","194.23809814453125","199.3333282470703","199.3333282470703","199.3333282470703","200","200","200","143.42857360839844","143.42857360839844","143.42857360839844","147","147","147"
"29","191.42857360839844","191.42857360839844","191.42857360839844","200","200","200","188.77272033691406","188.77272033691406","188.77272033691406","183.22727966308594","183.22727966308594","183.22727966308594","175.5","175.5","175.5","200","200","200","151.57142639160156","151.57142639160156","151.57142639160156","185.1666717529297","185.1666717529297","185.1666717529297"
"30","187.5","187.5","187.5","200","200","200","173.875","173.875","173.875","187.86363220214844","187.86363220214844","187.86363220214844","184.1666717529297","184.1666717529297","184.1666717529297","200","200","200","190.3333282470703","190.3333282470703","190.3333282470703","197.5","197.5","197.5"
"31","176.30435180664062","176.30435180664062","176.30435180664062","200","200","200","154.03846740722656","154.03846740722656","154.03846740722656","181.47825622558594","181.47825622558594","181.47825622558594","193.6666717529297","193.6666717529297","193.6666717529297","200","200","200","199.3333282470703","199.3333282470703","199.3333282470703","159.7142791748047","159.7142791748047","159.7142791748047"
"32","197.61904907226562","197.61904907226562","197.61904907226562","200","200","200","147.14285278320312","147.14285278320312","147.14285278320312","179","179","179","199","199","199","200","200","200","198","198","198","151.57142639160156","151.57142639160156","151.57142639160156"
"33","200","200","200","200","200","200","142.34483337402344","142.34483337402344","142.34483337402344","182.56521606445312","182.56521606445312","182.56521606445312","182.5","182.5","182.5","200","200","200","180.3333282470703","180.3333282470703","180.3333282470703","173","173","173"
"34","200","200","200","200","200","200","143.60714721679688","143.60714721679688","143.60714721679688","181.13043212890625","181.13043212890625","181.13043212890625","197.1666717529297","197.1666717529297","197.1666717529297","200","200","200","180.8333282470703","180.8333282470703","180.8333282470703","157.85714721679688","157.85714721679688","157.85714721679688"
"35","200","200","200","200","200","200","140.51724243164062","140.51724243164062","140.51724243164062","173.4166717529297","173.4166717529297","173.4166717529297","200","200","200","200","200","200","200","200","200","169.42857360839844","169.42857360839844","169.42857360839844"
"36","196.95237731933594","196.95237731933594","196.95237731933594","200","200","200","146.35714721679688","146.35714721679688","146.35714721679688","163.27999877929688","163.27999877929688","163.27999877929688","200","200","200","200","200","200","200","200","200","167.57142639160156","167.57142639160156","167.57142639160156"
"37","200","200","200","200","200","200","162.8800048828125","162.8800048828125","162.8800048828125","149","149","149","200","200","200","200","200","200","200","200","200","188.5","188.5","188.5"
"38","200","200","200","200","200","200","175.30435180664062","175.30435180664062","175.30435180664062","166.8333282470703","166.8333282470703","166.8333282470703","200","200","200","200","200","200","200","200","200","198.1666717529297","198.1666717529297","198.1666717529297"
"39","200","200","200","200","200","200","188.90908813476562","188.90908813476562","188.90908813476562","162.9199981689453","162.9199981689453","162.9199981689453","190","190","190","200","200","200","200","200","200","200","200","200"
"40","200","200","200","200","200","200","198.8095245361328","198.8095245361328","198.8095245361328","168.9583282470703","168.9583282470703","168.9583282470703","199","199","199","200","200","200","200","200","200","200","200","200"
"41","200","200","200","200","200","200","200","200","200","189.4545440673828","189.4545440673828","189.4545440673828","200","200","200","200","200","200","200","200","200","197.1666717529297","197.1666717529297","197.1666717529297"
"42","200","200","200","200","200","200","200","200","200","196.38095092773438","196.38095092773438","196.38095092773438","200","200","200","200","200","200","200","200","200","192.1666717529297","192.1666717529297","192.1666717529297"
"43","200","200","200","200","200","200","200","200","200","189.81817626953125","189.81817626953125","189.81817626953125","200","200","200","200","200","200","200","200","200","196.1666717529297","196.1666717529297","196.1666717529297"
"44","200","200","200","199.85714721679688","199.85714721679688","199.85714721679688","200","200","200","190.59091186523438","190.59091186523438","190.59091186523438","200","200","200","200","200","200","200","200","200","174","174","174"
"45","200","200","200","200","200","200","200","200","200","195.5238037109375","195.5238037109375","195.5238037109375","200","200","200","200","200","200","200","200","200","182.5","182.5","182.5"
"46","200","200","200","200","200","200","200","200","200","195.09524536132812","195.09524536132812","195.09524536132812","200","200","200","200","200","200","200","200","200","195","195","195"
"47","200","200","200","200","200","200","200","200","200","197.3333282470703","197.3333282470703","197.3333282470703","200","200","200","200","200","200","200","200","200","184.1666717529297","184.1666717529297","184.1666717529297"
"48","200","200","200","200","200","200","200","200","200","198.09524536132812","198.09524536132812","198.09524536132812","200","200","200","200","200","200","196.5","196.5","196.5","175","175","175"
"49","200","200","200","200","200","200","200","200","200","195.6666717529297","195.6666717529297","195.6666717529297","200","200","200","200","200","200","187.6666717529297","187.6666717529297","187.6666717529297","151.7142791748047","151.7142791748047","151.7142791748047"
"50","200","200","200","200","200","200","200","200","200","195.7142791748047","195.7142791748047","195.7142791748047","200","200","200","200","200","200","172","172","172","143.25","143.25","143.25"
"51","200","200","200","200","200","200","200","200","200","196.90475463867188","196.90475463867188","196.90475463867188","200","200","200","200","200","200","108.5","108.5","108.5","129","129","129"
"52","200","200","200","200","200","200","200","200","200","185.40908813476562","185.40908813476562","185.40908813476562","196.6666717529297","196.6666717529297","196.6666717529297","200","200","200","77.23076629638672","77.23076629638672","77.23076629638672","130.875","130.875","130.875"
"53","200","200","200","200","200","200","200","200","200","191.23809814453125","191.23809814453125","191.23809814453125","200","200","200","200","200","200","77.69230651855469","77.69230651855469","77.69230651855469","119.66666412353516","119.66666412353516","119.66666412353516"
"54","200","200","200","200","200","200","200","200","200","196.38095092773438","196.38095092773438","196.38095092773438","200","200","200","200","200","200","84.30769348144531","84.30769348144531","84.30769348144531","96.09091186523438","96.09091186523438","96.09091186523438"
"55","200","200","200","200","200","200","200","200","200","190.31817626953125","190.31817626953125","190.31817626953125","200","200","200","200","200","200","103","103","103","83.69230651855469","83.69230651855469","83.69230651855469"
"56","200","200","200","200","200","200","200","200","200","188.81817626953125","188.81817626953125","188.81817626953125","200","200","200","200","200","200","113.77777862548828","113.77777862548828","113.77777862548828","67.26667022705078","67.26667022705078","67.26667022705078"
"57","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","118.44444274902344","118.44444274902344","118.44444274902344","59.11111068725586","59.11111068725586","59.11111068725586"
"58","200","200","200","200","200","200","200","200","200","190.6666717529297","190.6666717529297","190.6666717529297","200","200","200","200","200","200","135.25","135.25","135.25","59.64706039428711","59.64706039428711","59.64706039428711"
"59","200","200","200","200","200","200","200","200","200","188.31817626953125","188.31817626953125","188.31817626953125","200","200","200","200","200","200","149.7142791748047","149.7142791748047","149.7142791748047","52.400001525878906","52.400001525878906","52.400001525878906"
"60","200","200","200","200","200","200","200","200","200","182.9545440673828","182.9545440673828","182.9545440673828","200","200","200","200","200","200","159","159","159","51.25","51.25","51.25"
"61","200","200","200","200","200","200","200","200","200","174.1666717529297","174.1666717529297","174.1666717529297","200","200","200","200","200","200","167","167","167","50.599998474121094","50.599998474121094","50.599998474121094"
