"train/episode","seed_42_20260617_224551_ddqn - train/reward_ma10","seed_42_20260617_224551_ddqn - train/reward_ma10__MIN","seed_42_20260617_224551_ddqn - train/reward_ma10__MAX","seed_42_20260617_224551_ddqn - _step","seed_42_20260617_224551_ddqn - _step__MIN","seed_42_20260617_224551_ddqn - _step__MAX"
"10","0.46975000000000017","0.46975000000000017","0.46975000000000017","10","10","10"
"20","0.29821000000000014","0.29821000000000014","0.29821000000000014","20","20","20"
"30","0.08514000000000004","0.08514000000000004","0.08514000000000004","30","30","30"
"40","0.2359600000000001","0.2359600000000001","0.2359600000000001","40","40","40"
"50","0.7680500000000001","0.7680500000000001","0.7680500000000001","50","50","50"
"60","1.5666400000000003","1.5666400000000003","1.5666400000000003","60","60","60"
"70","-0.08617999999999992","-0.08617999999999992","-0.08617999999999992","70","70","70"
"80","0.3682900000000001","0.3682900000000001","0.3682900000000001","80","80","80"
"90","0.3466100000000001","0.3466100000000001","0.3466100000000001","90","90","90"
"100","-0.05530999999999993","-0.05530999999999993","-0.05530999999999993","100","100","100"
"110","0.2567200000000001","0.2567200000000001","0.2567200000000001","110","110","110"
"120","0.6105800000000002","0.6105800000000002","0.6105800000000002","120","120","120"
"130","0.39729000000000003","0.39729000000000003","0.39729000000000003","130","130","130"
"140","0.8869500000000002","0.8869500000000002","0.8869500000000002","140","140","140"
"150","0.8330500000000001","0.8330500000000001","0.8330500000000001","150","150","150"
"160","1.12216","1.12216","1.12216","160","160","160"
"170","0.29748000000000013","0.29748000000000013","0.29748000000000013","170","170","170"
"180","1.0574600000000003","1.0574600000000003","1.0574600000000003","180","180","180"
"190","2.4700700000000007","2.4700700000000007","2.4700700000000007","190","190","190"
"200","4.068770000000001","4.068770000000001","4.068770000000001","200","200","200"
"210","12.001380000000001","12.001380000000001","12.001380000000001","210","210","210"
"220","10.30267","10.30267","10.30267","220","220","220"
"230","8.232400000000002","8.232400000000002","8.232400000000002","230","230","230"
"240","10.181799999999999","10.181799999999999","10.181799999999999","240","240","240"
"250","6.2803","6.2803","6.2803","250","250","250"
"260","10.881750000000002","10.881750000000002","10.881750000000002","260","260","260"
"270","7.852929999999999","7.852929999999999","7.852929999999999","270","270","270"
"280","3.8743000000000003","3.8743000000000003","3.8743000000000003","280","280","280"
"290","10.85753","10.85753","10.85753","290","290","290"
"300","5.267250000000001","5.267250000000001","5.267250000000001","300","300","300"
"310","7.98793","7.98793","7.98793","310","310","310"
"320","0.41411000000000014","0.41411000000000014","0.41411000000000014","320","320","320"
"330","8.56699","8.56699","8.56699","330","330","330"
"340","8.54456","8.54456","8.54456","340","340","340"
"350","5.068350000000001","5.068350000000001","5.068350000000001","350","350","350"
"360","9.836640000000001","9.836640000000001","9.836640000000001","360","360","360"
"370","10.48508","10.48508","10.48508","370","370","370"
"380","13.68854","13.68854","13.68854","380","380","380"
"390","12.87233","12.87233","12.87233","390","390","390"
"400","5.4737","5.4737","5.4737","400","400","400"
"410","7.77257","7.77257","7.77257","410","410","410"
"420","5.644130000000001","5.644130000000001","5.644130000000001","420","420","420"
"430","4.524150000000001","4.524150000000001","4.524150000000001","430","430","430"
"440","8.33485","8.33485","8.33485","440","440","440"
"450","5.51338","5.51338","5.51338","450","450","450"
"460","1.3123900000000002","1.3123900000000002","1.3123900000000002","460","460","460"
"470","1.56885","1.56885","1.56885","470","470","470"
"480","2.0869","2.0869","2.0869","480","480","480"
"490","6.19227","6.19227","6.19227","490","490","490"
"500","4.41875","4.41875","4.41875","500","500","500"
"510","6.778090000000001","6.778090000000001","6.778090000000001","510","510","510"
"520","10.020480000000001","10.020480000000001","10.020480000000001","520","520","520"
"530","10.0605","10.0605","10.0605","530","530","530"
"540","12.933769999999999","12.933769999999999","12.933769999999999","540","540","540"
"550","12.998410000000002","12.998410000000002","12.998410000000002","550","550","550"
"560","7.912350000000001","7.912350000000001","7.912350000000001","560","560","560"
"570","14.013739999999999","14.013739999999999","14.013739999999999","570","570","570"
"580","8.57271","8.57271","8.57271","580","580","580"
"590","8.66496","8.66496","8.66496","590","590","590"
"600","11.09002","11.09002","11.09002","600","600","600"
"610","9.865459999999997","9.865459999999997","9.865459999999997","610","610","610"
"620","9.877609999999999","9.877609999999999","9.877609999999999","620","620","620"
"630","8.775250000000002","8.775250000000002","8.775250000000002","630","630","630"
"640","20.631949999999996","20.631949999999996","20.631949999999996","640","640","640"
"650","14.561489999999997","14.561489999999997","14.561489999999997","650","650","650"
"660","7.1235100000000005","7.1235100000000005","7.1235100000000005","660","660","660"
"670","11.39742","11.39742","11.39742","670","670","670"
"680","12.370679999999998","12.370679999999998","12.370679999999998","680","680","680"
"690","10.47814","10.47814","10.47814","690","690","690"
"700","12.04052","12.04052","12.04052","700","700","700"
"710","7.573039999999999","7.573039999999999","7.573039999999999","710","710","710"
"720","12.794319999999999","12.794319999999999","12.794319999999999","720","720","720"
"730","6.035430000000001","6.035430000000001","6.035430000000001","730","730","730"
"740","10.015079999999998","10.015079999999998","10.015079999999998","740","740","740"
